make,model,variant,price,mileage,power,safety_rating,user_rating
BMW,BMW XM,standard,26000000,61.0,563.5,5.0,4.7
Mercedes-Benz,Mercedes-Benz AMG S 63 E Performance,standard,33000000,17.0,794.0,5.0,4.8
BMW,BMW M5,standard,19900000,17.0,717.0,5.0,4.9
Aston Martin,Aston Martin Vantage,standard,39900000,17.0,656.0,5.0,4.9
Mercedes-Benz,Mercedes-Benz AMG GT 63 S E Performance,standard,33000000,17.0,741.0,5.0,4.4
Audi,Audi RS Q8 Performance,standard,24900000,17.0,648.0,5.0,4.7
Mercedes-Benz,Mercedes-Benz AMG GT 63 S 4MATIC Plus,standard,27000000,8.0,630.0,5.0,4.9
Maserati,Maserati MC20,standard,36500000,8.0,621.0,5.0,4.9
Mercedes-Benz,Mercedes-Benz AMG G-Class,standard,37500000,17.0,577.0,5.0,4.6
Mercedes-Benz,Mercedes-Benz Maybach GLS,standard,33900000,17.0,550.0,5.0,4.6
BMW,BMW M8,standard,24400000,7.0,604.0,5.0,4.8
Ferrari,Ferrari Portofino,standard,35000000,8.0,591.0,5.0,4.8
Mercedes-Benz,Mercedes-Benz AMG C 63 S E Performance,standard,19500000,17.0,469.0,5.0,4.9
Ferrari,Ferrari Roma,standard,37600000,8.0,612.0,5.0,4.6
BMW,BMW i5,standard,12000000,17.0,601.0,5.0,4.2
Mercedes-Benz,Mercedes-Benz AMG SL55 Roadster,standard,24700000,17.0,469.0,5.0,4.8
BMW,BMW M4,standard,15600000,10.0,533.0,5.0,4.8
Mercedes-Benz,Mercedes-Benz Maybach S-Class,standard,27700000,8.0,549.5,5.0,4.7
Mercedes-Benz,Mercedes-Benz AMG GLE Coupe,standard,18800000,17.0,429.0,5.0,4.8
Mercedes-Benz,Mercedes-Benz AMG E53 Cabriolet,standard,13000000,17.0,429.0,5.0,4.8
Land Rover,Range Rover Sport,standard,14500000,11.0,486.0,5.0,4.8
Land Rover,Defender,standard,10500000,23.0,461.0,5.0,4.8
Mercedes-Benz,Mercedes-Benz AMG C 43,standard,9940000,17.0,402.0,5.0,4.8
Aston Martin,Aston Martin DB11,standard,32900000,8.0,551.5,5.0,4.5
Land Rover,Range Rover,standard,24000000,10.5,470.0,5.0,4.7
BMW,BMW M2,standard,10300000,10.0,463.0,5.0,4.7
Maserati,Maserati Ghibli,standard,12000000,12.0,428.0,5.0,4.7
Audi,Audi RS5,standard,11300000,10.0,444.0,5.0,4.7
Mercedes-Benz,Mercedes-Benz AMG A45 S,standard,9480000,12.0,421.0,5.0,4.7
Porsche,Porsche Cayenne Coupe,standard,14900000,24.5,483.0,5.0,4.5
Audi,Audi A8 L,standard,13400000,17.0,344.0,5.0,4.8
Jaguar,Jaguar F-Pace,standard,7290000,15.5,372.0,5.0,4.7
Maserati,Maserati Grecale,standard,13100000,17.0,409.5,5.0,4.4
Porsche,Porsche Cayenne,standard,14200000,24.5,442.5,5.0,4.6
Mercedes-Benz,Mercedes-Benz G-Class,standard,25500000,6.0,451.5,5.0,4.7
Mercedes-Benz,Mercedes-Benz GLE,standard,10100000,17.0,320.0,5.0,4.8
Audi,Audi Q8,standard,11700000,17.0,335.0,5.0,4.7
Maserati,Maserati GranTurismo,standard,27200000,17.0,512.5,5.0,3.8
Volvo,Volvo EC40,standard,5900000,17.0,408.0,5.0,4.3
Toyota,Toyota Land Cruiser,standard,23100000,17.0,304.0,5.0,4.8
Mercedes-Benz,Mercedes-Benz AMG GLC43 Coupe,standard,11200000,17.0,416.0,5.0,4.2
Mercedes-Benz,Mercedes-Benz E-Class,standard,7950000,17.0,284.5,5.0,4.8
Porsche,Porsche Macan Turbo EV,standard,12200000,17.0,304.0,5.0,4.7
Maserati,Maserati Quattroporte,standard,18000000,11.0,423.5,5.0,4.4
Audi,Audi Q7,standard,8870000,17.0,335.0,5.0,4.5
Maruti Suzuki,Maruti Dzire,standard,684000,28.5,74.5,5.0,4.7
Mercedes-Benz,Mercedes-Benz GLS,standard,13400000,17.0,368.5,5.0,4.3
BMW,BMW Z4,standard,9290000,12.0,335.0,5.0,4.7
Tata,Tata Harrier EV Stealth,standard,2705000,22.5,210.0,5.0,4.8
